#####################################################################################
#CompleteYeastFeatures.tab										
#
#This file was generated by David Gresham 10/13/2006
#
#To make this file I took the SGD_features.tab file and removed all features specified as CDS.
#Then I took the NotFeature.fasta file from SGD, extracted the headers and reformatted the information so the columns match the SGD_features.tab file.
#Finally I concatenated the two files and sorted them based on chromosome number, start position and end position.
#It looks like the Intergenic regions have inserted themselves at the right place, however use at your own risk.
#
#Following the SGD_features.tab file format I have included the following information:
#
#	<Primary SGDID> simply replaced with S00000000DG
#	<Feature Type> intergenic
#	<Feature name> between geneA and geneB
#	<chromosome> 
#	<start>
#	<stop>
####################################################################################

S000028864	telomeric_repeat		TEL01L-TR			chromosome 1		1	62	1	C		9/9/03	9/9/03	Terminal stretch of telomeric repeats on the left arm of Chromosome I
S000002143	ORF	Dubious	YAL069W			chromosome 1		1	335	649	W		7/31/96	7/31/96	Hypothetical protein
S000028866	X_element_combinatorial_repeats		TEL01L-XR			chromosome 1		1	336	63	C		9/9/03	9/9/03	"X element combinatorial repeat region on the left arm of Chromosome I, contains repeats of the D, C, B and A types, as well as Tbf1p binding sites, formerly called SubTelomeric Repeats"
S000028594	ORF	Dubious	YAL068W-A			chromosome 1		1	538	792	W		7/29/03	7/29/03	"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S000034594	binding_site					TEL01L-XC		1	544	532	C		9/9/03	9/9/03	
S000034593	ARS consensus sequence					TEL01L-XC		1	763	753	C		9/9/03	9/9/03	
S000028862	telomere		TEL01L			chromosome 1		1	801	1	C	-64	9/9/03	9/9/03	"Telomeric region on the left arm of Chromosome I; composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats"
S000028865	X_element_core_sequence		TEL01L-XC			chromosome 1		1	801	337	C		9/9/03	9/9/03	"X element core sequence on the left arm of Chromosome I; contains an ARS consensus sequence, an Abf1p binding site consensus sequence and two small overlapping ORFs (YAL068W-A and YAL069W)"
S0000000DG	intergenic		between TEL01L-XC and YAL068C			chromosome 1		1	802	1806					
S000002142	ORF	Uncharacterized	YAL068C			chromosome 1		1	2169	1807	C		7/31/96	7/31/96	Hypothetical protein
S0000000DG	intergenic		between YAL068C and YAL067W-A			chromosome 1		1	2170	2479					
S000028593	ORF	Uncharacterized	YAL067W-A			chromosome 1		1	2480	2707	W		7/29/03	7/29/03	"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S0000000DG	intergenic		between YAL067W-A and YAL067C			chromosome 1		1	2708	7235					
S000000062	ORF	Verified	YAL067C	SEO1		chromosome 1	L000003363	1	9017	7236	C		7/31/96	7/31/96	"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"
S0000000DG	intergenic		between YAL067C and YAL066W			chromosome 1		1	9018	10091					
S000000061	ORF	Dubious	YAL066W			chromosome 1		1	10092	10400	W		7/31/96	7/31/96	Hypothetical protein
S0000000DG	intergenic		between YAL066W and YAL065C			chromosome 1		1	10401	11565					
S000001817	ORF	Uncharacterized	YAL065C			chromosome 1		1	11952	11566	C		7/31/96	7/31/96	Hypothetical protein
S0000000DG	intergenic		between YAL065C and YAL064W-B			chromosome 1		1	11953	12046					
S000002141	ORF	Uncharacterized	YAL064W-B			chromosome 1		1	12047	12427	W		7/17/99	7/17/99	Hypothetical protein
S0000000DG	intergenic		between YAL064W-B and YAL064C-A			chromosome 1		1	12428	13363					
S000002140	ORF	Uncharacterized	YAL064C-A			chromosome 1		1	13744	13364	C		7/31/96	7/31/96	Hypothetical protein
S0000000DG	intergenic		between YAL064C-A and YAL064W			chromosome 1		1	13745	21525					
S000000060	ORF	Uncharacterized	YAL064W			chromosome 1		1	21526	21852	W		7/31/96	7/31/96	Hypothetical protein
S0000000DG	intergenic		between YAL064W and YALWdelta1			chromosome 1		1	21853	22231					
S000006787	long_terminal_repeat		YALWdelta1			chromosome 1		1	22232	22554	W		5/19/00	5/19/00	Ty1 LTR
S000028813	ORF	Uncharacterized	YAL063C-A			chromosome 1		1	22687	22397	C		7/29/03	7/29/03	Identified by expression profiling and mass spectrometry
S0000000DG	intergenic		between YAL063C-A and YAL063C			chromosome 1		1	22688	24000					
S000000059	ORF	Verified	YAL063C	FLO9		chromosome 1	L000003331	1	27969	24001	C		7/31/96	7/31/96	"Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation"
S0000000DG	intergenic		between YAL063C and YAL062W			chromosome 1		1	27970	31567					
S000000058	ORF	Verified	YAL062W	GDH3	FUN51	chromosome 1	L000000698	1	31568	32941	W		7/31/96	7/31/96	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"
S0000000DG	intergenic		between YAL062W and YAL061W			chromosome 1		1	32942	33448					
S000000057	ORF	Uncharacterized	YAL061W			chromosome 1		1	33449	34702	W		7/31/96	7/31/96	putative polyol dehydrogenase
S0000000DG	intergenic		between YAL061W and YAL060W			chromosome 1		1	34703	35155					
S000000056	ORF	Verified	YAL060W	BDH1		chromosome 1		1	35156	36304	W		7/31/96	7/31/96	"NAD-dependent (2R,3R)-2,3-butanediol dehydrogenase, a zinc-containing medium-chain alcohol dehydrogenase, produces 2,3-butanediol from acetoin during fermentation and allows using 2,3-butanediol as a carbon source during aerobic growth"
S0000000DG	intergenic		between YAL060W and YAL059C-A			chromosome 1		1	36305	36496					
S000000055	ORF	Verified	YAL059W	ECM1		chromosome 1	L000003052	1	36510	37148	W		7/31/96	7/31/96	"Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export"
S000028734	ORF	Dubious	YAL059C-A			chromosome 1		1	36919	36497	C		7/29/03	7/29/03	Questionable ORF from MIPS
S0000000DG	intergenic		between YAL059W and YAL058W			chromosome 1		1	37149	37464					
S000000054	ORF	Verified	YAL058W	CNE1	FUN48	chromosome 1	L000000373	1	37465	38973	W		7/31/96	7/31/96	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"
S000002139	ORF	Dubious	YAL056C-A		YAL058C-A	chromosome 1		1	39047	38697	C		7/31/96	7/31/96	Hypothetical protein
S0000000DG	intergenic		between YAL056C-A and YAL056W			chromosome 1		1	39048	39259					
S000000052	ORF	Verified	YAL056W	GPB2	KRH1	chromosome 1		1	39260	41902	W		1/20/04	2004-01-20|1996-07-31	"Proposed beta subunit of the heterotrimeric G protein; interacts with the receptor Grp1p, affects signaling by altering the level of phosphorylation of PKS substrates; regulates pseudohyphal growth through cAMP levels; homolog of Gpb1p"
S0000000DG	intergenic		between YAL056W and YAL055W			chromosome 1		1	41903	42177					
S000000051	ORF	Verified	YAL055W	PEX22	YAF5	chromosome 1		1	42178	42720	W		1/20/04	7/31/96	"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation"
S0000000DG	intergenic		between YAL055W and YAL054C			chromosome 1		1	42721	42881					
S000000050	ORF	Verified	YAL054C	ACS1	FUN44	chromosome 1	L000000024	1	45023	42882	C	-63.11	1/20/04	7/31/96	"Acetyl-coA synthetase isoform, expressed during growth on nonfermentable carbon sources and under aerobic conditions"
S0000000DG	intergenic		between YAL054C and YAL053W			chromosome 1		1	45024	45899					
S000000049	ORF	Verified	YAL053W	FLC2	HUF2	chromosome 1		1	45900	48251	W		1/20/04	7/31/96	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance
S0000000DG	intergenic		between YAL053W and YAL051W			chromosome 1		1	48252	48564					
S000000048	ORF	Verified	YAL051W	OAF1	YAF1	chromosome 1	L000004197	1	48565	51708	W		7/20/04	2004-07-20|1996-07-31	"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"
S0000000DG	intergenic		between YAL051W and YAL049C			chromosome 1		1	51709	51855					
S000000047	ORF	Uncharacterized	YAL049C			chromosome 1		1	52596	51856	C		7/20/04	7/31/96	Hypothetical protein
